brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
levrana,30779.0,20892.0,9858.0,4893.0,2582.0,3324.0,556.0,15.910396323951753,15.21606816798539,84.7839318320146,8358.0,66.28119293974437
farmavita,13739.0,11616.0,2747.0,1006.0,662.0,1236.0,211.0,10.640495867768596,15.253003276301419,84.74699672369857,2328.0,55.00546050236622
lowence,4145.0,3267.0,1019.0,480.0,266.0,452.0,95.0,13.835322926232015,15.309126594700686,84.69087340529931,863.0,55.64278704612365
provoc,9626.0,7233.0,2595.0,1217.0,679.0,998.0,158.0,13.797870869625328,15.414258188824661,84.58574181117534,2195.0,61.541425818882466
refectocil,14337.0,7574.0,5864.0,2969.0,1779.0,1420.0,247.0,18.74834961711117,15.416098226466577,84.58390177353343,4960.0,75.78444747612552
dewal,22609.0,16111.0,6290.0,2760.0,1664.0,1834.0,353.0,11.38352678294333,15.48489666136725,84.51510333863274,5316.0,70.84260731319554
orly,9061.0,7481.0,1791.0,829.0,463.0,739.0,122.0,9.878358508220826,15.577889447236181,84.42211055276381,1512.0,58.73813512004467
happyfons,14925.0,12130.0,2803.0,1464.0,738.0,1049.0,188.0,8.6479802143446,15.626114876917589,84.37388512308242,2365.0,62.575811630396004
thuya,12816.0,9595.0,3048.0,1455.0,804.0,865.0,191.0,9.015112037519541,15.68241469816273,84.31758530183727,2570.0,71.62073490813648
mayamy,792.0,596.0,223.0,107.0,53.0,87.0,19.0,14.597315436241612,15.695067264573993,84.30493273542601,188.0,60.98654708520179
browxenna,43567.0,31894.0,11761.0,5767.0,3211.0,3745.0,743.0,11.742020442716498,15.712949579117423,84.28705042088258,9913.0,68.15746960292492
metzger,51199.0,38064.0,13955.0,6845.0,4237.0,5844.0,1027.0,15.353089533417402,15.714797563597276,84.28520243640273,11762.0,58.1225367251881
barex,2159.0,1775.0,419.0,176.0,99.0,163.0,35.0,9.183098591549296,15.75178997613365,84.24821002386635,353.0,61.09785202863962
